folio,head_a,head_e,head_o,head_k,head_t,head_headless,mod_p,mod_f,mod_i,mod_c,mod_d,mod_s,term_y,term_n,term_l,term_r,term_m,term_h,pfx_qo,pfx_ch,pfx_sh,pfx_ok,pfx_ot,pfx_da,pfx_ol,pfx_ct,pfx_bare,e_depth_mean,i_depth_mean,mean_atom_length,token_count,section
f34v,-0.025465505479969355,-0.0011978820238812138,-0.0420208742443442,-0.010525614425632143,-0.022870514953476383,0.10767774687162673,-0.0036560159160287965,-0.008637335956572552,0.028627395197081518,0.00627706466799037,0.0020374554942445,-0.006272917914756614,0.045292141907494476,0.001848525623314362,-0.03928456694130106,0.0636384720234296,0.016470480008331522,-0.0010086724515651507,-0.012023241475472485,0.13299245470606214,-0.0024909807665447203,-0.010180410389178204,-0.025803808192730714,-0.04241026609670896,0.027886819468911438,-0.00607621628312223,-0.06189435097121626,-0.0824202224834576,0.01195121613443706,0.0550156329587379,7.71875,Herbal
f39r,-0.01733450604462211,-0.04337744159474513,-0.03157479858087722,-0.01086440606877162,-0.022870514953476383,0.12512551649330939,0.004926705710171092,0.01513454433704687,0.08582671761379523,0.0016469122117509505,-0.05973555410485204,0.004399018844136668,-0.04764969886043324,0.04013198129807438,0.014639769591731133,-0.00649139810644056,-0.0010337548872077183,-0.0010086724515651507,-0.008070672305512006,0.04490662748980012,0.03392912087094822,-0.062467253980369626,-0.03241024523395036,0.022411868290642817,-0.0005152132809474047,-0.00607621628312223,0.008291984432510446,-0.06440780012320912,0.08467848886170981,0.12091060754936445,46.71875,Herbal
f39v,0.07814747676130437,-0.11791557951316475,0.07524795612920143,-0.0042794417373284155,-0.01582826143234962,-0.01681704798446637,-0.014005066742728122,0.010836025954021448,0.10082580303541588,-0.013992378075426658,-0.10555593091114435,-0.03401327308928203,-0.10737166703310563,0.0354676315633021,-0.02642479964185219,0.08899058469948593,-0.005881020297853413,-0.0010086724515651507,-0.049683988566715596,-0.07398856182792438,0.009144046790099489,0.01015026934137904,-0.0237217506299628,0.008967566113946265,0.009270775378280693,-0.00607621628312223,0.11593785968401948,-0.224367558674517,0.06592848886170977,-0.31479453238112765,34.71875,Herbal
f40r,0.1105273228481346,-0.11065552433674541,0.046280335975288245,0.003997021163789638,-0.022870514953476383,-0.0216812849526673,-0.01073804191333942,0.0032855685705453323,0.06125850232393043,-0.032360317671767586,-0.12319786498984336,0.00018158679165306696,-0.18715967342195422,0.020584518451642442,-0.0002886010067425643,0.09044259573476979,0.034847889241859095,-0.0010086724515651507,-0.016505536410479207,-0.08081301369375857,-0.0482103891036133,0.12805356540642915,-0.04158148636395438,0.013977004185675615,0.008254367653581986,-0.00607621628312223,0.04290170460924092,-0.20505581190524153,0.08467848886170981,-0.4397400819673045,-10.28125,Herbal
f40v,0.07921045842487068,-0.04656293534627662,-0.025203811077814248,0.06215691223556555,-0.022870514953476383,-0.060000678066847446,-0.021047320263854884,0.010968898661967236,0.17563313760889449,-0.03498626593086115,-0.07884851661404096,-0.012753639817955957,-0.06578250944607406,0.07174188083250221,0.011576794830643167,0.01458186824984467,0.010728068195370078,-0.0010086724515651507,0.05196363301181217,0.0021474998250121113,-0.06114561571322232,0.053068154007868545,-0.0424568024503189,-0.030761373561844323,-0.004680858956027038,-0.00607621628312223,0.037941580119842,-0.08192801575663233,-0.015321511138290278,-0.10060372717251731,-1.28125,Herbal
f41r,-0.11627680086320558,0.14707643442614118,-0.1083588392824437,0.09678052631842882,-0.0022519582524454552,-0.0216812849526673,0.00988051478769151,-0.017332988130485595,-0.237710569841018,0.01918607408080973,0.21700832057716696,-0.010127691558862395,0.28706713070175716,-0.1340546568060895,-0.04152571440880442,-0.1157429712755395,-0.01669850251071823,-0.0010086724515651507,0.0968965254451909,0.13568183166706616,-0.006973275701551443,-0.05751344490284921,-0.03127220801343891,-0.016950830865870778,-0.03298274574847987,0.0042330620673932335,-0.09111891394746013,0.361954497373109,-0.381988177804957,0.1994351757646542,-10.28125,Herbal
f41v,-0.058969341797104904,0.19650032769478884,0.00337554519299596,-0.0005511898732024761,0.00654124975240597,-0.14129923522555998,0.008364444442027469,0.026784658928337937,-0.0818585383067548,0.010241259041391906,0.05600164986764605,0.0030621204484147443,0.06102104216324894,-0.03702615468359102,0.12311952513031019,-0.09224388091774688,-0.027007780861233694,-0.0010086724515651507,0.018667295608926493,-0.06777480872104782,-0.030623973093910448,0.04391166122207499,0.006932764697294862,0.00503218914625779,0.040546666016226016,-0.00607621628312223,-0.010615578592699626,0.29903757802805137,0.15967848886170977,0.20322535162881428,-39.28125,Herbal
f43r,-0.06720463591475197,-0.038009476226779776,0.051022604016525364,-0.04878648399084954,0.04379615171319028,0.05811252948032236,0.025619346402811785,-0.010666321463818927,-0.11166245987538226,0.0033785139433526873,0.09247223810294014,-0.03438885994374212,0.13572692451619017,-0.05467321350712043,-0.029429494477532937,-0.029694861309903745,-0.01367444752790036,-0.0010086724515651507,0.007686903452063756,-0.041500298917126255,0.07055249749432485,-0.06177461328772893,0.034775901952196826,0.024836110714885243,-0.006316079081813201,-0.00607621628312223,-0.022184206043680044,-0.09488399059939961,0.09717848886170977,-0.02324523660647948,42.71875,Herbal
f43v,-0.042629472516059155,0.1474807198516516,0.014813453689727973,-0.04303485000392144,-0.009798619528639781,-0.06776982346085408,-0.014511372551436582,-0.004261092705648993,-0.10800232915642802,0.015143219825705628,0.08541341457352841,0.030839898226192514,0.12474653235932742,-0.06970589324568252,-0.02393929839910157,-0.03832231229029591,0.005671957700857811,-0.0010086724515651507,-0.03362028609041991,0.040068328533854114,-0.011016129956655546,-0.0165458551177943,0.026540607834549763,-0.016209640919101688,-0.013374902611224967,0.0004597314292960706,0.02369814689749644,0.15361274142674414,-0.04865484447162349,0.03819267189025233,45.71875,Herbal
f46r,-0.0835103683988284,0.01647035392184018,-0.020697141206404562,0.000385490531443447,-0.0037622346986993134,0.09034182884337971,0.0107998134941069,0.0017752921242914742,-0.0736157507458706,0.006775541544201943,-0.044597825591327356,0.009899887402330068,0.04706450413402452,-0.05276238548164272,0.025517426966203793,-0.034450699951092706,0.004839352896728089,-0.0010086724515651507,-0.00980778869230993,0.027204584310049962,0.15896014080642676,-0.06933299969961854,-0.039151911211285126,0.007935898400660182,-0.0138744654937028,0.006662637220062484,-0.06859609564028302,-0.007537918412563072,0.12678375201960446,0.06974839396676868,49.71875,Herbal
