# Brunschwig Materials Extracted from OCR
# Total: 509

BRU-455: lich (Degree 2, WATER_STANDARD)
BRU-456: Spicanardt (Degree 2, WATER_STANDARD)
BRU-457: nardi (Degree 2, WATER_STANDARD)
BRU-458: ydes (Degree 2, WATER_STANDARD)
BRU-459: boum (Degree 2, WATER_STANDARD)
BRU-460: Pargen (Degree 2, WATER_STANDARD)
BRU-461: Spargen (Degree 2, WATER_STANDARD)
BRU-462: Spangen (Degree 2, WATER_STANDARD)
BRU-463: Oſten (Degree 2, WATER_STANDARD)
BRU-464: Toften (Degree 2, WATER_STANDARD)
BRU-465: Toſten (Degree 2, WATER_STANDARD)
BRU-466: Coſten (Degree 2, WATER_STANDARD)
BRU-467: Oꝛmentillen (Degree 2, WATER_STANDARD)
BRU-468: Tottemn (Degree 2, WATER_STANDARD)
BRU-469: Tottern (Degree 2, WATER_STANDARD)
BRU-470: Totrern (Degree 2, WATER_STANDARD)
BRU-471: Cottern (Degree 2, WATER_STANDARD)
BRU-472: Cognerm (Degree 2, WATER_STANDARD)
BRU-473: ſtern (Degree 2, WATER_STANDARD)
BRU-474: tamarifcen (Degree 2, WATER_STANDARD)
BRU-475: Camaniſcen (Degree 2, WATER_STANDARD)
BRU-476: Camariſcen (Degree 2, WATER_STANDARD)
BRU-477: Tamarifcus (Degree 2, WATER_STANDARD)
BRU-478: Amariſcen (Degree 2, WATER_STANDARD)
BRU-479: CLCamariſcen (Degree 2, WATER_STANDARD)
BRU-480: Wermöt (Degree 2, WATER_STANDARD)
BRU-481: Alwurtz (Degree 2, WATER_STANDARD)
BRU-482: Walwurt (Degree 2, WATER_STANDARD)
BRU-483: Walwurtz (Degree 2, WATER_STANDARD)
BRU-484: Walwurs (Degree 2, WATER_STANDARD)
BRU-485: Vntſcherling (Degree 2, WATER_STANDARD)
BRU-486: Wuntſcherling (Degree 1, WATER_GENTLE)
BRU-487: AVPuntſcherling (Degree 2, WATER_STANDARD)
BRU-488: Rrut (Degree 2, WATER_STANDARD)
BRU-489: wyß (Degree 2, WATER_STANDARD)
BRU-490: PWegwyß (Degree 2, WATER_STANDARD)
BRU-491: Woullen (Degree 2, WATER_STANDARD)
BRU-492: Wullen (Degree 2, WATER_STANDARD)
BRU-493: bewert (Degree 2, WATER_STANDARD)
